timestep,x,y,yaw,velocity
0.000000,0.000000,0.000000,0.000000,0.000000
0.151980,0.000000,0.000000,0.000000,0.000000
0.303976,0.000000,0.000000,0.000000,0.000000
0.455998,0.000000,0.000000,0.000000,0.000000
0.612008,0.000000,0.000000,0.000000,0.000000
0.763979,0.000000,0.000000,0.000000,0.000000
0.915993,0.000000,0.000000,0.000000,0.000000
1.068000,0.000000,0.000000,0.000000,0.000000
1.220020,0.000000,0.000000,0.000000,0.000000
1.371994,0.000000,0.000000,0.000000,0.000000
1.523991,0.000000,0.000000,0.000000,0.000000
1.675998,0.000000,0.000000,0.000000,0.000000
1.831983,0.000000,0.000000,0.000000,0.000000
1.983981,0.000000,0.000000,0.000000,0.000000
2.135996,0.000000,0.000000,0.000000,0.000000
2.287979,0.000000,0.000000,0.000000,0.000000
2.439983,0.000000,0.000000,0.000000,0.000000
2.591987,0.000000,0.000000,0.000000,0.000000
2.743978,0.000000,0.000000,0.000000,0.000000
2.895997,0.000000,0.000000,0.000000,0.000000
3.051982,0.000000,0.000000,0.000000,0.000000
3.203978,0.000000,0.000000,0.000000,0.000000
3.366786,0.000000,0.000000,0.000000,0.000000
3.517829,0.000000,0.000000,0.000000,0.000000
3.671525,0.000000,0.000000,0.000000,0.000000
3.820616,0.000000,0.000000,0.000000,0.000000
3.971981,0.000000,0.000000,0.000000,0.000000
4.127939,0.000000,0.000000,0.000000,0.000000
4.287978,0.000000,0.000000,0.000000,0.000000
4.439983,0.000000,0.000000,0.000000,0.000000
4.591978,0.000000,0.000000,0.000000,0.000000
4.747981,0.000000,0.000000,0.000000,0.000000
4.900010,0.000000,0.000000,0.000000,0.000000
5.052046,0.000000,0.000000,0.000000,0.000000
5.207978,0.012098,0.000000,0.000000,0.316951
5.363979,0.092519,0.000000,0.000000,0.708307
5.516208,0.223607,0.000000,0.000000,0.905083
5.667982,0.366631,0.000000,0.000000,0.991516
5.819979,0.518856,0.000000,0.000000,1.033137
5.971980,0.675510,0.000000,0.000000,1.053179
6.123986,0.834298,0.000000,0.000000,1.062831
6.276181,1.004789,0.000000,0.000000,1.067683
6.431978,1.165120,0.000000,0.000000,1.069815
6.583977,1.325679,0.000000,0.000000,1.070841
6.743570,1.497060,0.000000,0.000000,1.071357
6.891981,1.657782,0.000000,0.000000,1.071584
7.043976,1.818529,0.000000,0.000000,1.071693
7.198753,1.990005,0.000000,0.000000,1.071748
7.347982,2.150769,0.000000,0.000000,1.071772
7.499980,2.311536,0.000000,0.000000,1.071784
7.656267,2.483022,0.000000,0.000000,1.071789
7.807982,2.643790,0.000000,0.000000,1.071792
7.959981,2.804559,0.000000,0.000000,1.071793
8.112094,2.965328,0.000000,0.000000,1.071794
8.263983,3.126097,0.000000,0.000000,1.071794
8.416222,3.297585,0.000000,0.000000,1.071794
8.571973,3.458354,0.000000,0.000000,1.071794
8.724051,3.619123,0.000000,0.000000,1.071794
8.880002,3.790610,0.000000,0.000000,1.071794
9.034628,3.951379,0.000000,0.000000,1.071794
9.189303,4.122866,0.000000,0.000000,1.071794
9.339981,4.283635,0.000000,0.000000,1.071794
9.493354,4.444405,0.000000,0.000000,1.071794
9.643983,4.605174,0.000000,0.000000,1.071794
9.796180,4.776661,0.000000,0.000000,1.071794
9.951977,4.937430,0.000000,0.000000,1.071794
10.105516,5.098199,0.000000,0.000000,1.071794
10.256158,5.269686,0.000000,0.000000,1.071794
10.407976,5.430455,0.000000,0.000000,1.071794
10.559978,5.591225,0.000000,0.000000,1.071794
10.711985,5.751994,0.000000,0.000000,1.071794
10.869769,5.923481,0.000000,0.000000,1.071794
11.019980,6.084250,0.000000,0.000000,1.071794
11.176202,6.255737,0.000000,0.000000,1.071794
11.328519,6.416506,0.000000,0.000000,1.071794
11.479982,6.577275,0.000000,0.000000,1.071794
11.631982,6.738045,0.000000,0.000000,1.071794
11.783980,6.898814,0.000000,0.000000,1.071794
11.936238,7.070301,0.000000,0.000000,1.071794
12.087986,7.231070,0.000000,0.000000,1.071794
12.252740,7.402557,0.000000,0.000000,1.071794
12.406783,7.574044,0.000000,0.000000,1.071794
12.556196,7.734813,0.000000,0.000000,1.071794
12.708001,7.895583,0.000000,0.000000,1.071794
12.860175,8.056352,0.000000,0.000000,1.071794
13.031986,8.238557,0.000000,0.000000,1.071794
13.191984,8.410044,0.000000,0.000000,1.071794
13.343988,8.570813,0.000000,0.000000,1.071794
13.499987,8.742300,0.000000,0.000000,1.071794
13.651991,8.903069,0.000000,0.000000,1.071794
13.803982,9.063838,0.000000,0.000000,1.071794
13.956258,9.235326,0.000000,0.000000,1.071794
14.108934,9.302799,0.000000,0.000000,0.075102
14.259990,9.306221,0.000000,0.000000,0.003172
14.411996,9.306366,0.000000,0.000000,0.000134
14.563984,9.306372,0.000000,0.000000,0.000006
14.723589,9.306372,0.000000,0.000000,0.000000
14.872111,9.306372,0.000000,0.000000,0.000000
15.023988,9.306372,0.000000,0.000000,0.000000
15.176943,9.306372,0.000000,0.000000,0.000000
